Gene,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment
SPDEF,ENSG00000124664,epithelial,goblet cell,TOP 5 (CZI) List,,,,TRUE,"Breast - Breast glandular cells,Colon - Intestinal goblet cells",TRUE,
SRPX,ENSG00000101955,epithelial,granulosa cell,TOP 5 (CZI) List,,,,TRUE,"General - Endothelial cells,General - Fibroblasts,Liver - Hepatic stellate cells",FALSE,
ST6GALNAC5,ENSG00000117069,epithelial,type I pneumocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNNI3,ENSG00000129991,epithelial,granulosa cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TNS4,ENSG00000131746,epithelial,myoepithelial cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TP63,ENSG00000073282,epithelial,"basal, myoepithelial cell",TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,TRUE,
TRIM50,ENSG00000146755,epithelial,paneth cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TRPM5,ENSG00000070985,epithelial,tuft cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TSPAN8,ENSG00000127324,epithelial,club cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TTYH1,ENSG00000167614,epithelial,serous cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
UGT2B7,ENSG00000171234,epithelial,"absorptive cell,duct cell,tuft cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
UPK1B,ENSG00000114638,epithelial,"club cell,goblet cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
UPK3A,ENSG00000100373,epithelial,paneth cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
VCAN,ENSG00000038427,epithelial,granulosa cell,TOP 5 (CZI) List,,,,TRUE,"General - Fibroblasts,General - Macrophages,General - Smooth muscle cells,Liver - Kupffer cells",FALSE,
VSIG2,ENSG00000019102,epithelial,club cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
WIF1,ENSG00000156076,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
WWC1,ENSG00000113645,epithelial,absorptive cell; epicardium,TOP 5 (CZI) List; Tissue Expert Added,HRT,,,FALSE,NA,FALSE,
ZNF385B,ENSG00000144331,epithelial,type II pneumocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
ZNF750,ENSG00000141579,epithelial,absorptive cell,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
KRT19,ENSG00000171345,epithelial and eccrine,"stratified epithelial cell; restricted expression in gut, pancreatic ducts (IVD); Eccrine ductal cells (skin)",TOP 5 (CZI) List; Tissue expert added,,,,FALSE,NA,FALSE,
AQP5,ENSG00000161798,"epithelial, eccrine cells",Eccrine secretory cells,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
DCD,ENSG00000161634,"epithelial, eccrine cells",Eccrine secretory cells,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
KRT18,ENSG00000111057,"epithelial, eccrine cells",Eccrine and apocrine secretory cells,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
DSC1,ENSG00000134765,"epithelial, keratinocytes",Differentiated Keratinocytes,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
DSC3,ENSG00000134762,"epithelial, keratinocytes",keratinocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
FLG,ENSG00000143631,"epithelial, keratinocytes",Cornified Keratinocytes,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
KRT15,ENSG00000171346,"epithelial, keratinocytes",EpSC and Other Progenitors_1; TSK_basal; BCC,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
KRT2,ENSG00000172867,"epithelial, keratinocytes",Spinous to Granular Cells,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
KRT5,ENSG00000186081,"epithelial, keratinocytes","keratinocyte,myoepithelial cell,stratified epithelial cell",TOP 5 (CZI) List; MxIF Proteins,,,,FALSE,NA,TRUE,
KRTDAP,ENSG00000188508,"epithelial, keratinocytes",Differentiated Keratinocytes; Pilosebaceous cells; BCC,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
LAMB3,ENSG00000196878,"epithelial, keratinocytes",TSK,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
LY6D,ENSG00000167656,"epithelial, keratinocytes",Differentiated Keratinocytes; Keratinocytes,Tissue  expert added,Skin,,,TRUE,Skin - Suprabasal keratinocytes,FALSE,
LYPD3,ENSG00000124466,"epithelial, keratinocytes",Differentiated Keratinocytes,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
SERPINB5,ENSG00000206075,"epithelial, keratinocytes",keratinocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SFN,ENSG00000175793,"epithelial, keratinocytes","keratinocyte,stratified epithelial cell",TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SFRP1,ENSG00000104332,"epithelial, keratinocytes",TSK_basal,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
BCAN,ENSG00000132692,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
COL11A1,ENSG00000060718,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
MLANA,ENSG00000120215,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,TRUE,Skin - Melanocytes,FALSE,
PMEL,ENSG00000185664,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SIM2,ENSG00000159263,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
SLC30A8,ENSG00000164756,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TRIM63,ENSG00000158022,"epithelial, melanocyte",melanocyte,TOP 5 (CZI) List,,,,FALSE,NA,FALSE,
TYRP1,ENSG00000107165,"epithelial, melanocyte",melanocyte,Tissue  expert added,Skin,,,FALSE,NA,FALSE,
HAS1,ENSG00000105509,"epithelial, mesenchymal",Epicardium,Tissue  expert added,HRT Add-on,,,FALSE,NA,FALSE,
