organ,source,target,sum_extraction_sites_number
3d-vh-m-liver,VH_M_bare_area_of_liver,VH_M_diaphragmatic_surface,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_gastric_impression_of_liver,2
3d-vh-m-lung,VH_M_left_medial_basal_bronchopulmonary_segment,VH_M_left_posetrior_basal_bronchopulmonary_segment,2
3d-vh-m-lung,VH_M_left_lateral_basal_bronchopulmonary_segment,VH_M_left_posetrior_basal_bronchopulmonary_segment,2
3d-vh-m-lung,VH_M_hilum_middle_R,VH_M_right_medial_bronchopulmonary_segment,2
3d-vh-f-ureter-l,VH_F_left_ureter,VH_F_renal_pelvis_L,2
3d-vh-f-kidney-r,VH_F_hilum_of_kidney_R,VH_F_renal_column_R,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_papilla_R_b,2
3d-vh-f-kidney-r,VH_F_renal_papilla_R_a,VH_F_renal_pyramid_R_a,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_g,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_d,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_renal_impression_of_liver,2
3d-vh-m-lung,VH_M_right_anterior_basal_bronchus,VH_M_right_lateral_bronchopulmonary_segment,2
3d-vh-m-lung,VH_M_hilum_middle_R,VH_M_right_lateral_bronchus,2
3d-vh-f-kidney-r,VH_F_hilum_of_kidney_R,VH_F_kidney_capsule_R,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_left_posterolateral_segment,2
3d-sbu-f-large-intestine,VH_F_caecum,VH_F_ileocecal_valve,2
3d-sbu-f-large-intestine,VH_F_caecum,VH_F_vermiform_appendix,2
3d-vh-m-liver,VH_M_gastric_impression_of_liver,VH_M_left_anterolateral_segment,2
3d-sbu-f-large-intestine,VH_F_splenic_flexure_of_colon,VH_F_transverse_colon,2
3d-sbu-f-large-intestine,VH_F_ascending_colon,VH_F_ileocecal_valve,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_ligamentum_venosum,2
3d-sbu-f-large-intestine,VH_F_hepatic_flexure_of_colon,VH_F_transverse_colon,2
3d-sbu-f-large-intestine,VH_F_ascending_colon,VH_F_caecum,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_j,2
3d-vh-m-liver,VH_M_left_inferomedial_segment,VH_M_liver_capsule,2
3d-sbu-f-large-intestine,VH_F_ascending_colon,VH_F_hepatic_flexure_of_colon,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_porta_hepatis,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_suprarenal_impression_of_liver,2
3d-vh-m-liver,VH_M_colic_impression_of_liver,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_bare_area_of_liver,VH_M_left_anterolateral_segment,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_c,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_left_superiomedial_segment,2
3d-vh-m-liver,VH_M_gastric_impression_of_liver,VH_M_left_posterolateral_segment,2
3d-vh-m-liver,VH_M_hepataduodenal_ligament,VH_M_left_anterolateral_segment,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_round_ligament_of_liver,2
3d-vh-m-kidney-l,VH_M_hilum_of_kidney_L,VH_M_renal_column_L,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_left_inferomedial_segment,2
3d-vh-m-liver,VH_M_ligamentum_venosum,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_quadrate_lobe_of_liver,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_left_inferomedial_segment,2
3d-vh-m-liver,VH_M_falciform_ligament,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_right_anteroinferior_segment,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_papilla_L_b,2
3d-vh-m-liver,VH_M_duodenal_impression_of_liver,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_caudate_lobe_of_liver,VH_M_diaphragmatic_surface,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_right_posterosuperior_segment,2
3d-vh-m-heart,VH_M_interventricular_septum,VH_M_mitral_valve,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_esophageal_impression_of_liver,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_porta_hepatis,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_round_ligament_of_liver,2
3d-vh-m-heart,VH_M_mitral_valve,VH_M_right_cardiac_atrium,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_left_anterolateral_segment,2
3d-vh-m-liver,VH_M_left_posterolateral_segment,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_esophageal_impression_of_liver,VH_M_left_anterolateral_segment,2
3d-vh-m-liver,VH_M_colic_impression_of_liver,VH_M_diaphragmatic_surface,2
3d-vh-m-liver,VH_M_left_anterolateral_segment,VH_M_liver_capsule,2
3d-vh-m-heart,VH_M_right_cardiac_atrium,VH_M_tricuspid_valve,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_b,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_triangular_ligament_of_liver,2
3d-vh-m-liver,VH_M_esophageal_impression_of_liver,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_gastric_impression_of_liver,VH_M_liver_capsule,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_a,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_renal_impression_of_liver,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_h,2
3d-vh-m-heart,VH_M_interventricular_septum,VH_M_tricuspid_valve,2
3d-vh-m-liver,VH_M_falciform_ligament,VH_M_left_anterolateral_segment,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_papilla_L_i,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_d,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_hepataduodenal_ligament,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_g,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_f,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_round_ligament_of_liver,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_right_posteroinferior_segment,2
3d-vh-m-liver,VH_M_liver_capsule,VH_M_quadrate_lobe_of_liver,2
3d-vh-m-liver,VH_M_caudate_lobe_of_liver,VH_M_liver_capsule,2
3d-vh-m-liver,VH_M_diaphragmatic_surface,VH_M_liver_capsule,2
3d-vh-m-kidney-l,VH_M_hilum_of_kidney_L,VH_M_renal_pyramid_L_i,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_papilla_L_e,2
3d-vh-m-liver,VH_M_bare_area_of_liver,VH_M_liver_capsule,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_pyramid_L_e,2
3d-vh-m-liver,VH_M_coronary_ligament_of_liver,VH_M_diaphragmatic_surface,2
3d-vh-f-kidney-r,VH_F_renal_column_R,VH_F_renal_pyramid_R_h,2
3d-vh-m-kidney-l,VH_M_renal_column_L,VH_M_renal_papilla_L_a,2
