gene_name,Ensembl ID,Lineage/ L1 or state,cell type(s),Rationale/Source,Specific Request by,specificity flag,Protein/Other name,is_in_10x_multi_panel,10x_multi_panel_celltype,is_in_Xenium_KIL_panel,10x_panel_designer_comment,hgnc
FOXO4,ENSG00000184481,senescence markers,with TP53 induces senescence,State Rescue; MxIF Proteins,,,,False,,False,,HGNC:7139
GDF15,ENSG00000130513,senescence markers,multiple,State Rescue; MxIF Proteins,,,,True,"Breast - Breast glandular cells,Colon - Distal enterocytes,Colon - Intestinal goblet cells,Colon - Undifferentiated cells,Kidney - Collecting duct cells,Lung - Alveolar cells type 2,Lung - Respiratory ciliated cells,Pancreas - Ductal cells,Pancreas - Pancreatic endocrine cells",False,,HGNC:30142
GLB1,ENSG00000170266,senescence markers,multiple,State Rescue; MxIF Proteins,,,,False,,False,,HGNC:4298
TP53,ENSG00000141510,senescence markers,multiple,MxIF Proteins,,,,False,,False,,HGNC:11998
SIRT1,ENSG00000096717,senescence markers,multiple,State Rescue,,,,False,,False,,HGNC:14929
EMILIN1,ENSG00000138080,stromal,"fibroblasts, ECM, endothelial lymphatic?",Rescue; MxIF Proteins,,,,False,,False,,HGNC:19880
ADAMTS4,ENSG00000158859,stromal,"tendon, cartilage, synovium (esp osteoarthritic)",Tissue  expert added,IVD,,,False,,False,,HGNC:220
ADAMTS5,ENSG00000154736,stromal,"""interstitial inflammatory cells"" multiple tissues, neural plezus of gut",Tissue  expert added,IVD,,,False,,False,,HGNC:221
APOD,ENSG00000189058,stromal,Pro-inflammatory Fibroblasts,Tissue  expert added,Skin,,,False,,False,,HGNC:612
COL14A1,ENSG00000187955,stromal,ECM,MxIF Proteins,,,,False,,False,,HGNC:2191
FAP,ENSG00000078098,stromal,myofibroblast; activated fibroblast,Tissue  expert added,,,,False,,True,,HGNC:3590
ITGA8,ENSG00000077943,stromal,"smooth muscle, fibroblasts, intestinal epithelial crypt cells, adipose, vascular smooth muscle (HRT)","MxIF Proteins, tissue expert added",,,,False,,False,,HGNC:6144
MMP2,ENSG00000087245,stromal,Secretory-reticular Fibroblasts,Tissue  expert added,Skin,,,False,,False,,HGNC:7166
PDGFRA,ENSG00000134853,stromal,"mesenchymal, stem cell",TOP 5 (CZI) List,,,,True,General - Fibroblasts,False,,HGNC:8803
PDGFRB,ENSG00000113721,stromal,"interstitial cells, fibroblasts, vascular smooth muscle, pericyctes",MxIF Proteins,,,,True,"General - Fibroblasts,General - Smooth muscle cells",True,,HGNC:8804
POSTN,ENSG00000133110,stromal,activated fibroblast; Endocardial Endothelial,Tissue  expert added (x2),HRT,,,False,,False,,HGNC:16953
PRG4,ENSG00000116690,stromal,synovial fluid; epicardium,Tissue  expert added (x2) ,IVD; HRT,,,True,"General - Fibroblasts,Liver - Hepatocytes",False,,HGNC:9364
WT1,ENSG00000184937,stromal,subpleural fibroblast/renal podocytes (epithelial),MxIF Proteins,,,,False,,False,,HGNC:12796
OSMR,ENSG00000145623,"stromal, activated fibroblasts",OSMRhi fibroblast,Tissue  expert added,,,,False,,False,,HGNC:8507
ABCA9,ENSG00000154258,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:39
ADIPOQ,ENSG00000181092,"stromal, adipocyte",adipocyte,Tissue  expert added,HRT,,,True,Breast - adipocytes,False,,HGNC:13633
CILP,ENSG00000138615,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:1980
CYP4B1,ENSG00000142973,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,General - Fibroblasts,Lung - Alveolar cells type 1,Lung - Respiratory ciliated cells",False,,HGNC:2644
PI16,ENSG00000164530,"stromal, adipocyte",adipocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:21245
PLIN1,ENSG00000166819,"stromal, adipocyte",adipocyte,MxIF Proteins,,,,False,,True,,HGNC:9076
SCARA5,ENSG00000168079,"stromal, adipocyte",adipocyte; fibroblast (fallopian tube),TOP 5 (CZI) List; Tissue expert added,Fallopian Tube,,,False,,False,,HGNC:28701
FGF12,ENSG00000114279,"stromal, cardiac muscle",cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,HGNC:3668
FHL2,ENSG00000115641,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT Add-on,,,True,"Breast - Breast glandular cells,Breast - Breast myoepithelial cells,Colon - Distal enterocytes,Colon - Paneth cells,General - Fibroblasts,General - Smooth muscle cells,Heart - Cardiomyocytes,Pancreas - Ductal cells,Pancreas - Pancreatic endocrine cells,Skin - Basal keratinocytes,Skin - Suprabasal keratinocytes",False,,HGNC:3703
MYH7,ENSG00000092054,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:7577
MYL7,ENSG00000106631,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:21719
MYLK3,ENSG00000140795,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,HGNC:29826
NLGN1,ENSG00000169760,"stromal, cardiac muscle",ventricular cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,HGNC:14291
NPPA,ENSG00000175206,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT,,,False,,False,,HGNC:7939
PAM,ENSG00000145730,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:8596
PKP2,ENSG00000057294,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:9024
PRKAG2,ENSG00000106617,"stromal, cardiac muscle",Atrial Cardiomyocyte,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:9386
RBM20,ENSG00000203867,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:27424
TECRL,ENSG00000205678,"stromal, cardiac muscle","atrial cardiac myocyte,ventricular cardiac myocyte",TOP 5 (CZI) List,,,,False,,False,,HGNC:27365
TENM2,ENSG00000145934,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:29943
TNNC1,ENSG00000114854,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:11943
TNNI1,ENSG00000159173,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:11945
TNNT2,ENSG00000118194,"stromal, cardiac muscle",atrial cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:11949
TRDN,ENSG00000186439,"stromal, cardiac muscle",ventricular cardiac myocyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:12261
ACAN,ENSG00000157766,"stromal, chondrocyte","chondrocytes, CNS",Tissue  expert added,IVD,,,False,,False,,HGNC:319
COL10A1,ENSG00000123500,"stromal, chondrocyte",hypertrophic chondrocytes,Tissue  expert added,IVD,,,False,,False,,HGNC:2185
CLSTN2,ENSG00000158258,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:17448
COL3A1,ENSG00000168542,"stromal, fibroblasts",fibroblast,TOP 5 (CZI) List,,,,False,,False,,HGNC:2201
COL5A1,ENSG00000130635,"stromal, fibroblasts","fibroblasts, vascular smooth muscle cells",Tissue  expert added,IVD,,,False,,False,,HGNC:2209
COL5A2,ENSG00000204262,"stromal, fibroblasts",mesenchymal fibroblasts,Tissue  expert added,Skin,,,True,"Colon - Enteroendocrine cells,General - Fibroblasts,General - Smooth muscle cells",False,,HGNC:2210
COL6A3,ENSG00000163359,"stromal, fibroblasts",Fibroblasts; Mesenchymal Fibroblasts,Tissue  expert added,Skin,,,False,,False,,HGNC:2213
DCN,ENSG00000011465,"stromal, fibroblasts",fibroblast,TOP 5 (CZI) List; MxIF Proteins,,,,False,,True,,HGNC:2705
DIO3OS,ENSG00000258498,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,HGNC:20348
FOXF1,ENSG00000103241,"stromal, fibroblasts",fibroblasts ,Tissue  expert added,IVD,,,False,,False,,HGNC:3809
GALNT15,ENSG00000131386,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:21531
GFPT2,ENSG00000131459,"stromal, fibroblasts",fibroblast,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:4242
IGFBP6,ENSG00000167779,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,HGNC:5475
IGSF10,ENSG00000152580,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:26384
LUM,ENSG00000139329,"stromal, fibroblasts","fibroblast,mesenchymal stem cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:6724
MFAP5,ENSG00000197614,"stromal, fibroblasts","fibroblasts, myofibroblasts",MxIF Proteins,,,,True,"General - Endothelial cells,General - Fibroblasts",False,,HGNC:29673
OLFML3,ENSG00000116774,"stromal, fibroblasts","fibroblast,mesenchymal stem cell",TOP 5 (CZI) List,,,,False,,False,,HGNC:24956
PWWP3B,ENSG00000157502,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:26583
RORB,ENSG00000198963,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,HGNC:10259
SHC3,ENSG00000148082,"stromal, fibroblasts",fibroblast,Tissue  expert added,Uterus,,,False,,False,,HGNC:18181
STXBP5L,ENSG00000145087,"stromal, fibroblasts",fibroblast,Tissue  expert added,Ovary,,,False,,False,,HGNC:30757
COL1A1,ENSG00000108821,"stromal, other",ECM (IVD),MxIF Proteins; Tissue Expert Added,,,,False,,True,,HGNC:2197
ABCC9,ENSG00000069431,"stromal, pericyte",pericyte,Tissue  expert added,HRT,,,False,,False,,HGNC:60
COX4I2,ENSG00000131055,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:16232
EGFLAM,ENSG00000164318,"stromal, pericyte",pericyte,Tissue  expert added,HRT,,,False,,False,,HGNC:26810
HIGD1B,ENSG00000131097,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,True,"Breast - Adipocytes,General - Endothelial cells,General - Smooth muscle cells",False,,HGNC:24318
MCAM,ENSG00000076706,"stromal, pericyte",pericytes,Tissue  expert added,,,,False,,True,,HGNC:6934
MYH11,ENSG00000133392,"stromal, pericyte","pericyte,smooth muscle cell",TOP 5 (CZI) List,,,,True,General - Smooth muscle cells,True,,HGNC:7569
NDUFA4L2,ENSG00000185633,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:29836
NOTCH3,ENSG00000074181,"stromal, pericyte",pericyte,TOP 5 (CZI) List,,,,False,,False,,HGNC:7883
NTRK3,ENSG00000140538,"stromal, pericyte",pericytes; Smooth Muscle,Tissue  expert added (x2),Ovary,,,False,,False,,HGNC:8033
RGS5,ENSG00000143248,"stromal, pericyte",pericyte,Tissue  expert added,HRT Add-on,,,False,,False,,HGNC:10001
COL2A1,ENSG00000139219,"stromal, skeletal muscle","skeletal muscle cell, chondrocytes (IVD)",TOP 5 (CZI) List; Tissue expert added,,,,False,,False,,HGNC:2200
JSRP1,ENSG00000167476,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:24963
TRABD2B,ENSG00000269113,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:44200
WSCD2,ENSG00000075035,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:29117
ZNF385C,ENSG00000187595,"stromal, skeletal muscle",skeletal muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:33722
DES,ENSG00000175084,"stromal, skeletal, cardiac, smooth","skeletal, cardiac and smooth muscle",MxIF Proteins,,,,True,"General - Smooth muscle cells,Heart - Cardiomyocytes",False,,HGNC:2770
ACTA2,ENSG00000107796,"stromal, smooth muscle",smooth muscle cell,MxIF Proteins,,,,True,"General - Fibroblasts,General - Smooth muscle cells,Liver - Hepatic stellate cells",True,,HGNC:130
ACTG2,ENSG00000163017,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,True,"Breast - Breast myoepithelial cells,General - Smooth muscle cells",False,,HGNC:145
CNN1,ENSG00000130176,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,True,"Breast - Breast myoepithelial cells,General - Smooth muscle cells,Pancreas - Ductal cells",False,,HGNC:2155
CNR1,ENSG00000118432,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,False,,False,,HGNC:2159
DGKG,ENSG00000058866,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,False,,False,,HGNC:2853
EPHA3,ENSG00000044524,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Ovary,,,False,,False,,HGNC:3387
FBXL22,ENSG00000197361,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,HGNC:27537
GRIA2,ENSG00000120251,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:4572
HSD17B6,ENSG00000025423,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,HGNC:23316
JPH2,ENSG00000149596,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:14202
LMOD1,ENSG00000163431,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:6647
PCP4,ENSG00000183036,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,True,"General - Smooth muscle cells,Kidney - Proximal tubular cells",False,,HGNC:8742
PDE1C,ENSG00000154678,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:8776
PLN,ENSG00000198523,"stromal, smooth muscle",smooth muscle cell,TOP 5 (CZI) List,,,,False,,False,,HGNC:9080
RBFOX3,ENSG00000167281,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Uterus,,,False,,False,,HGNC:27097
SLC24A2,ENSG00000155886,"stromal, smooth muscle",smooth muscle,Tissue  expert added,Fallopian Tube,,,False,,False,,HGNC:10976
FOXC2,ENSG00000176692,"stromal, transition","epithelial-mesenchymal transition, embryonic mesenchymal cells",State Rescue; MxIF Proteins,,,,False,,False,,HGNC:3801
MYH10,ENSG00000133026,"stromal, vascular smooth muscle",vascular smooth muscle,Tissue  expert added,HRT,,,False,,False,,HGNC:7568
