as_label,uberon_id,sex,ref_organ
female seventh thoracic spinal cord segment,UBERON:0006455,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female sixth thoracic spinal cord segment,UBERON:0006454,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female tenth thoracic spinal cord segment,UBERON:0006466,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female third lumbar spinal cord segment,UBERON:0006449,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female third sacral spinal cord segment,UBERON:0006462,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female third thoracic spinal cord segment,UBERON:0006459,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female twelfth thoracic spinal cord segment,UBERON:0006468,Female,https://purl.humanatlas.io/ref-organ/spinal-cord-female/v1.1#primary
female duodenal ampulla,UBERON:0013644,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female duodenum,UBERON:0002114,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female duodenum ascending,FMA:14930,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female duodenum descending,FMA:14928,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female duodenum horizontal,FMA:14929,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female duodenum superior,FMA:7206,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female ileum,UBERON:0002116,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female ileum terminal,FMA:14966,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female jejenum,UBERON:0002115,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female sphincter of heptopancreatic ampulla,FMA:15077,Female,https://purl.humanatlas.io/ref-organ/small-intestine-female/v1.2#primary
female amnion,UBERON:0000305,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female chorionic plate,UBERON:0004027,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female umbilical artery 1,UBERON:0001310,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female umbilical artery 2,UBERON:0001310,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female umbilical cord,UBERON:0002331,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female umbilical vein,UBERON:0002066,Female,https://purl.humanatlas.io/ref-organ/placenta-full-term-female/v1.1#primary
female coccyx,UBERON:0001350,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ilium,UBERON:0001273,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ilium compact bone,UBERON:0001439,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ilium spongy bone,UBERON:0002483,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ischium,UBERON:0001274,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ischium compact bone,UBERON:0001439,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female ischium spongy bone,UBERON:0002483,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female pubis,UBERON:0001275,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female pubis compact bone,UBERON:0001439,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
female pubis spongy bone,UBERON:0002483,Female,https://purl.humanatlas.io/ref-organ/pelvis-female/v1.3#primary
male carina,UBERON:0006679,Male,https://purl.humanatlas.io/ref-organ/trachea-male/v1.1#primary
male tracheal cartilage,UBERON:0003604,Male,https://purl.humanatlas.io/ref-organ/trachea-male/v1.1#primary
male thymus lobe,UBERON:0005457,Male,https://purl.humanatlas.io/ref-organ/thymus-male/v1.3#primary
male thymus lobe,UBERON:0005469,Male,https://purl.humanatlas.io/ref-organ/thymus-male/v1.3#primary
male colic surface of spleen,FMA:15838,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
male diaphragmatic surface of spleen,FMA:15828,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
male gastric surface of spleen,FMA:15837,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
male hilum of spleen,UBERON:0001248,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
male renal surface of spleen,FMA:15839,Male,https://purl.humanatlas.io/ref-organ/spleen-male/v1.3#primary
male,UBERON:0006469,Male,https://purl.humanatlas.io/ref-organ/spinal-cord-male/v1.1#primary
male,UBERON:0006489,Male,https://purl.humanatlas.io/ref-organ/spinal-cord-male/v1.1#primary
male,UBERON:0006488,Male,https://purl.humanatlas.io/ref-organ/spinal-cord-male/v1.1#primary
