"organ","as","as_id","cell_id"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cdc1"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cdc2"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:clc-mast-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cldn10-cells"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:clp"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:colonocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:contractile-pericyte-pln-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cx3cr1-cd8-tmem"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-b-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-ec"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-encc-glia"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-neuroblast"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-plasma-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-stromal"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:cycling-ta"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:d-cells-sst-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:dc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:differentiating-glia"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:distal-progenitor"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:dz-gc-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:ec-cells-npw-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:ec-cells-tac1-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:eecs"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:encc-glia-progenitor"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:endothelial"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:enterocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:fcrl4-memory-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:fdc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:fetal-arterial-ec"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:fetal-venous-ec"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:gc-b-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:gdt"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:germ"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:glia-1-dhh-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:glia-2-eln-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:glia-3-bcan-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:goblet"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:goblet-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:i-cells-cck-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:icc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:iga-plasma-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:igg-plasma-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:igm-plasma-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:ilc2"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:ilc3"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:ilcp"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:immature-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:immature-pericyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:k-cells-gip-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:l-cells-pyy-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec1-ackr4-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec2-madcam1-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec3-adgrg3-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec4-stab2-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec5-cldn11-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lec6-adamts4-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lti-like-ncr-ilc3"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lymphatic"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lymphoid-dc"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lyve1-macrophage"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:lz-gc-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:m-x-cells-mln-ghrl-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:m1-macrophage"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:m2-macrophage"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:macrophages"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mait-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mast-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mature-arterial-ec"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mature-venous-ec"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:megakaryocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:memory-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mesoderm-1-hand1-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mesothelium"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mesothelium-prg4-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mesothelium-rgs5-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:microfold-cell"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mln-stroma-fmo2-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mlto"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mmp9-inflammatory-macrophage"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:monocytes"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:mpo-mono-neutrophil"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:muc1-enterocyte"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:myofibroblast"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:myofibroblast-rspo2-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:n-cells-nts-"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:naive-b"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:nerve"
"Small Intestine","Descending part of Duodenum","FMA:14928","ASCTB-TEMP:neuroblast"
